"date","total_issue_amount","total_paid_off_principle","loan_balance","total_current_principle","overdue_3_principle","overdue_10_principle","overdue_30_principle","overdue_60_principle","overdue_90_principle","overdue_more_than_90_principle","total_paid_off_amount","total_outstanding_amount","total_current_amount","overdue_3_amount","overdue_10_amount","overdue_30_amount","overdue_60_amount","overdue_90_amount","overdue_more_than_90_amount"
"2021-03-24","1356417446777.00000000","1048324693557.41400000","308092753219.58600000","166869060215.00000000","2379862630.00000000","4696182795.00000000","11608862350.00000000","15288993813.80000000","11173447686.00000000","93808076613.78600000","1295514227408.85909303","466127709634.60118000","205076934717.00000000","3009711478.00000000","6266397573.00000000","17696133375.00000000","27693962301.94750000","20832048962.00000000","185552521227.65368000"
"2020-03-28","378874433000.00000000","258320926489.15800000","120553506510.84200000","74524343595.00000000","2413595220.00000000","3364713910.00000000","7312857624.00000000","9720414835.00000000","7059062297.00000000","16155059029.84200000","318196074318.44553600","169207433403.01200000","89927794133.24000000","2977699355.24000000","4425259707.16200000","11481660331.92800000","17938638229.80000000","13125222379.40000000","29331159266.24200000"
"2021-01-23","1015657830005.00000000","781822155433.26400000","233835674571.73600000","126981242380.00000000","2799941331.95000000","3719798230.00000000","6326386286.00000000","11055021274.00000000","5670876784.00000000","77278665405.78600000","963344980414.07509303","359842998344.60368000","156095048324.00000000","3513911931.95000000","4964141932.00000000","9679836175.00000000","20645086852.00000000","11317556110.20000000","153627417019.45368000"
"2021-03-26","1372873086777.00000000","1065080891793.41400000","307792194983.58600000","167859349136.00000000","2228848414.00000000","4799330450.00000000","11350254150.00000000","15466462853.80000000","11734519486.00000000","94353149613.78600000","1316299738403.85909303","469174600208.60118000","206308342599.00000000","2810855555.00000000","6414925812.00000000","17281269539.00000000","27912649593.94750000","21878423682.00000000","186568133427.65368000"
"2020-10-13","609685229000.00000000","467954637820.63000000","141730591179.37000000","64970699051.06400000","532670800.00000000","1486208400.00000000","3077045544.00000000","3083611905.00000000","2298021528.40000000","66283775070.90600000","572947061955.95159303","229586126057.38768000","79811826172.06400000","675225880.00000000","2000934161.00000000","4824131138.20000000","6001637459.00000000","4585000331.50280000","131687370915.62088000"
"2020-06-15","399009135524.00000000","323428531694.94598400","75580603829.05401600","7120206015.16833600","38035139.13520000","127131695.00000000","415314747.30848000","6999411465.60000000","21518033197.00000000","39358611569.84200000","394418043302.04520103","134498025280.01927200","8704210663.87552960","45895363.31510240","158363756.39000000","629489839.44344000","12948611163.70320000","39709012849.72200000","72302441643.57000000"
"2021-01-25","1025701416777.00000000","790961053431.26400000","234740363345.73600000","126722599958.00000000","2627383768.00000000","4237283769.95000000","6628518746.00000000","10906345274.00000000","6085390784.00000000","77532550165.78600000","974684409253.45909303","361495089290.60368000","155880634673.00000000","3287017376.00000000","5636126484.95000000","10125496185.00000000","20287683922.00000000","12144167910.20000000","154133962739.45368000"
"2020-06-11","396045935524.00000000","322931192136.63193920","73114743387.36806080","4534776760.10206080","80204159.40000000","140835927.44000000","496601131.98400000","10392964836.60000000","19519707691.00000000","37945792880.84200000","393774014994.42489265","131496248612.99927158","5520056417.04183158","93301237.22280000","176208603.28528000","758594216.25416000","19225743987.22320000","36027432068.44200000","69694912083.53000000"
"2020-04-10","388925033000.00000000","289507646320.04200000","99417386679.95800000","41093055232.11600000","4461482362.00000000","7046448264.00000000","9405206674.00000000","10115626873.00000000","8111613148.00000000","19180494126.84200000","356944210237.92553600","147754443880.98099200","49667879983.86499200","5551038393.14400000","9290159918.20000000","14611307869.24200000","18611813838.88800000","15056962380.80000000","34965281496.84200000"
"2021-03-22","1344686986777.00000000","1040729444333.41400000","303957542443.58600000","166047337815.00000000","2695503734.00000000","4549460061.00000000","11643085880.00000000","15250603633.80000000","10596414226.00000000","93169896213.78600000","1286047682773.85909303","463180517979.60118000","204080917902.00000000","3409828063.00000000","6071497509.00000000","17780962276.00000000","27719913479.94750000","19752025922.00000000","184365372827.65368000"
"2020-09-15","540319689000.00000000","408287623393.01400000","132032065606.98600000","59353677170.68000000","573853800.00000000","1107135355.00000000","1873582612.00000000","2372452799.00000000","815848217.40000000","65934715652.90600000","499015800984.35159303","215212988399.40368000","72799929937.68000000","712078764.00000000","1471151404.00000000","2956568113.00000000","4637837796.00000000","1625815296.50280000","131009607088.22088000"
"2020-02-25","277152836000.00000000","176857798137.15800000","100295037862.84200000","66412707476.00000000","1587604743.00000000","2610022240.00000000","6920933929.00000000","6824063641.00000000","7294491162.64200000","8641754671.20000000","218432325176.82753600","137967755519.83400000","79963837915.59200000","2002716716.00000000","3453232599.60000000","10948633192.00000000","12678818016.40000000","13512831119.64200000","15407685960.60000000"
"2020-09-22","552715029000.00000000","418033623118.63000000","134681405881.37000000","61422538145.06400000","471385400.00000000","893090000.00000000","2281006065.00000000","2607203541.00000000","1090509617.40000000","65914314232.90600000","511109498517.95159303","218952270218.18768000","75337869159.06400000","587054398.00000000","1189946444.00000000","3568559096.00000000","5117071556.00000000","2174728296.50280000","130977041268.62088000"
"2021-03-02","1226836256777.00000000","953778871479.41400000","273057385297.58600000","146802794064.00000000","2155018700.00000000","4790429140.00000000","10647368113.80000000","13033935620.00000000","10013671640.00000000","85612257139.78600000","1177753396341.05909303","418928412937.60118000","180599143744.00000000","2733827225.00000000","6411035904.00000000","16343428444.94750000","23872784802.00000000","18717634078.00000000","170250558739.65368000"
"2020-05-14","391195035524.00000000","317273897132.38475600","73921138391.61524400","4203527675.66928000","312488338.75920000","355470505.40000000","9106124253.94476400","21079115061.00000000","10063989904.00000000","28796962652.84200000","386597603824.27049280","130934339258.11355376","4807337421.02935936","358579498.70023040","447757906.87480000","15138513488.61716400","38812556122.16200000","18550777747.08800000","52818817073.64200000"
"2021-03-16","1309388806777.00000000","1015428386262.41400000","293960420514.58600000","160107954343.00000000","2156740368.00000000","4393429080.00000000","11881152663.80000000","14698328980.00000000","9791477075.00000000","90929947124.78600000","1254515852090.05909303","448999513867.60118000","196858726591.00000000","2718792587.00000000","5860014295.00000000","18237766953.94750000","26883055379.00000000","18245932088.45000000","180195225973.20368000"
"2020-09-09","527652349000.00000000","399070318268.01400000","128582030731.98600000","56650455650.68000000","611440000.00000000","940320600.00000000","1773106812.00000000","2203514198.40000000","442722725.52000000","65958570745.38600000","487627845763.35159303","210555294658.40368000","69467923915.68000000","758307740.00000000","1245130728.00000000","2853949865.00000000","4284286023.50280000","882288037.72000000","131063408348.50088000"
"2020-08-05","452483962228.00000000","351446660647.01400000","101037301580.98600000","32114846023.68000000","328300467.00000000","533789657.00000000","1103132088.40000000","358914205.52000000","547902650.94400000","66017256488.44200000","428956539778.08759303","175347828639.78768000","39473532752.16000000","420097113.00000000","711208690.00000000","1757218055.50280000","692870326.72000000","1082328636.60968000","131210573065.79520000"
"2020-12-12","826967229000.00000000","633390112467.21400000","193577116532.78600000","103059167226.00000000","1826755391.00000000","2624451182.00000000","5430287200.00000000","4744120001.00000000","4611036744.00000000","71280739908.78600000","778653310862.55909303","301142051510.65368000","126521727917.00000000","2313768473.00000000","3532623497.00000000","8599287360.00000000","9309780657.05000000","9207203072.20000000","141657660534.40368000"
"2020-05-03","390491635524.00000000","314166169226.29840000","76325466297.70160000","5976058156.36560000","366820026.29400000","2748003521.00000000","18000382633.20000000","14367407284.00000000","9940551062.00000000","24922783614.84200000","386119174147.99852800","130267088388.71643120","6847719211.27086720","446709729.16116400","3690930792.04000000","28886348140.07240000","26406587989.33000000","18361694032.20000000","45627098494.64200000"
"2020-02-23","270907936000.00000000","171502795199.15800000","99405140800.84200000","65869589759.00000000","1876476562.00000000","2815536145.00000000","6616279860.00000000","6663832641.00000000","7379811162.64200000","8180154671.20000000","211841633545.75953600","136567345039.90200000","79301972237.21600000","2380273969.04400000","3765629453.00000000","10511541757.00000000","12382839965.40000000","13659267225.64200000","14565820432.60000000"
"2020-06-14","397951635524.00000000","323251717062.67057920","74699918461.32942080","6177733748.44374080","69027294.13520000","132314499.44000000","423752674.86848000","7838556552.60000000","21050387322.00000000","39004286369.84200000","394186446320.96008615","133439371388.67555168","7546233655.28180928","82429100.43510240","165409032.50928000","644335545.45416000","14502728104.10320000","38846442476.32200000","71651793474.57000000"
"2020-10-08","597834349000.00000000","458827008496.63000000","139007340503.37000000","62938016071.06400000","802472000.00000000","1481461924.00000000","2778749505.00000000","2934099913.00000000","2065758139.40000000","66008224070.90600000","561628791799.95159303","225702749141.38768000","77340174570.06400000","1012199771.00000000","1992003484.20000000","4386078918.00000000","5714002632.00000000","4119637070.50280000","131138652695.62088000"
"2020-07-23","434176052228.00000000","337890094946.69400000","96285957281.30600000","27880803717.00000000","224237400.00000000","555294891.40000000","550171306.00000000","287557699.16000000","2373972434.70400000","64407859833.04200000","412343540867.88759303","159288472060.98768000","34052046175.36000000","283358020.00000000","746924833.50280000","838285489.00000000","510543875.84568000","4353342338.95480000","118503971328.32440000"
"2020-10-05","589715909000.00000000","452066130571.63000000","137649778428.37000000","62077432175.06400000","828922400.00000000","1531527924.00000000","2586348926.00000000","2906525653.00000000","1764120399.40000000","65956342070.90600000","553239557818.95159303","223746673954.38768000","76278290980.06400000","1051403060.00000000","2056452881.20000000","4118423827.00000000","5678215772.00000000","3518105058.50280000","131045782375.62088000"
"2020-12-20","857661069000.00000000","658255390737.21400000","199405678262.78600000","105425035442.00000000","1743302689.00000000","3391697116.00000000","6612800982.00000000","5440255184.00000000","4647110741.00000000","72137817228.78600000","809438331282.55909303","310215652563.50368000","129674276332.00000000","2174455971.30000000","4550036102.55000000","10512168558.00000000","10657594659.20000000","9280100522.05000000","143367020418.40368000"
"2020-12-24","874096189000.00000000","674824175637.21400000","199272013362.78600000","104417582942.00000000","1300676100.00000000","2879943721.00000000","7592260166.00000000","5707453784.00000000","4712834341.00000000","72660703428.78600000","829968288941.55909303","311082419434.65368000","128616073091.00000000","1620314767.00000000","3823337703.45000000","12013362564.55000000","11191804968.20000000","9410060122.05000000","144407466218.40368000"
"2021-01-04","925678089000.00000000","713920548548.51400000","211757540451.48600000","113796185720.70000000","1693475360.00000000","1694131166.00000000","7700001771.00000000","7507048804.00000000","4687611997.00000000","74678794752.78600000","878734754085.55909303","328671141174.55368000","139904701594.70000000","2145612980.00000000","2257747886.00000000","11967163568.20000000","14607913506.20000000","9354995973.85000000","148433005665.60368000"
"2020-08-23","482665149000.00000000","369061920168.01400000","113603228831.98600000","42971638600.68000000","455108504.00000000","772913970.00000000","1832749460.00000000","1121551460.40000000","255324027.16000000","66193142809.74600000","450748873678.35159303","191240382698.10768000","52530602751.68000000","569999009.00000000","1039318270.00000000","2872095208.00000000","2184351469.50280000","506495219.14168000","131537520770.78320000"
"2021-01-03","919847419000.00000000","690359487799.51400000","229487931200.48600000","112268785472.70000000","1998428560.00000000","1789007890.00000000","7695339747.00000000","7353740604.00000000","4678883997.00000000","74497868352.78600000","849447850439.55909303","326510745231.55368000","138097767672.70000000","2520036994.00000000","2394450360.20000000","11936146574.00000000","14148874691.20000000","9336079473.85000000","148077389465.60368000"
"2020-04-20","389639435524.00000000","303713086422.26400000","85926349101.73600000","17957858578.80000000","3426306270.20000000","7658184589.00000000","15611307445.89400000","10581747143.00000000","9316778260.00000000","21370706814.84200000","372146176929.77612800","135917823695.00400000","21676894077.90560000","4263127054.75240000","10164279281.48000000","24053337938.79400000","19462134512.43000000","17257675862.00000000","39040374967.64200000"
"2020-04-08","388686233000.00000000","285173476493.04200000","103512756506.95800000","47528587488.11600000","4222995705.00000000","6413075287.00000000","8757192751.00000000","10006640401.00000000","7987272548.00000000","18593532326.84200000","351515108369.40553600","151945461633.71699200","57450347749.14499200","5221640284.40000000","8458386606.06000000","13687091462.58200000","18428006290.68800000","14829652690.00000000","33870336550.84200000"
"2020-04-14","389238733000.00000000","296287478229.99800000","92951254770.00200000","30775119159.16000000","3634827520.00000000","8109058582.00000000","11487096722.00000000","10100407512.00000000","8696527780.00000000","20144757494.84200000","362592716847.96780800","142062386689.45992000","37181599357.27392000","4634626510.52000000","10838804840.49400000","17912292426.44200000","18600536005.08800000","16129859935.20000000","36764667614.44200000"
"2020-04-26","390043535524.00000000","309465038191.58400000","80578497332.41600000","10628441834.77400000","1804376157.60000000","5398384773.20000000","18689560281.00000000","11510737743.00000000","9600403128.00000000","22943133414.84200000","378965406452.85612800","132248360686.80782400","12594425745.00422400","2270770916.55920000","7217092738.95240000","29285271887.18000000","21166158567.87000000","17758632307.60000000","41956008523.64200000"
"2020-09-12","534697629000.00000000","404002750479.01400000","130694878520.98600000","58384684796.68000000","622500248.00000000","1100001155.00000000","1714911052.00000000","2317811798.40000000","613862218.00000000","65940307252.90600000","493726237759.35159303","213349755100.40368000","71606608663.68000000","777131768.00000000","1461876529.00000000","2745614142.00000000","4513243411.50280000","1224027298.00000000","131021253288.22088000"
"2020-03-13","336200536000.00000000","222508648030.15800000","113691887969.84200000","43829951804.00000000","813269994.00000000","7967160.00000000","24144286.00000000","4615653308.00000000","6749075907.64200000","13002384499.20000000","248029113012.13153600","98521183114.68200000","53004912659.04000000","970418640.00000000","0.00000000","0.00000000","8523668882.80000000","12532269460.84200000","23489913472.00000000"
"2021-02-21","1166581256777.00000000","901617662569.26400000","264963594207.73600000","143695700878.00000000","2767508910.00000000","4522786819.95000000","9461752780.00000000","10925069526.00000000","10922498874.00000000","82667985539.78600000","1112713145141.40909303","406103989981.60118000","176823056303.00000000","3503556258.00000000","6052006421.94750000","14659242458.00000000","19890246373.00000000","20796122828.00000000","164379759339.65368000"
"2020-05-11","390981535524.00000000","316305021073.72512000","74676514450.27488000","4769807458.93888000","263996510.00000000","413030485.40000000","11865984201.09400000","19581315551.00000000","10201550455.00000000","27577369788.84200000","385302487580.21108800","131123605871.87291248","5432613634.84894848","301661290.00000000","529528187.51480000","19473719023.53716400","36020468245.44200000","18813150926.88800000","50552464563.64200000"
"2020-07-02","408080693876.00000000","327435581391.25400000","80645112484.74600000","12718504006.40000000","85907618.00000000","108092200.00000000","226575406.96000000","732490092.34400000","18215327873.20000000","48553155287.84200000","399465983339.82031303","140393172546.05496000","15591437394.22080000","106773009.00000000","141005994.00000000","345369930.70928000","1292290181.76048000","33677897565.19240000","89238398471.17200000"
"2021-03-23","1350651986777.00000000","1044955558197.41400000","305696428579.58600000","167293458361.00000000","2448498014.00000000","4620449251.00000000","11693554240.00000000","15252238293.80000000","10863263126.00000000","93523486413.78600000","1291313506148.85909303","465651113366.60118000","205605400986.00000000","3101530539.00000000","6159516477.00000000","17834653458.00000000","27673638756.94750000","20255346722.00000000","185021026427.65368000"
"2021-02-07","1096107546777.00000000","847874281830.31400000","248233264946.68600000","135531405196.95000000","2096893303.00000000","2553589207.00000000","9988993419.95000000","10043353618.00000000","8089890886.00000000","79928848435.78600000","1045614963592.45909303","381496155165.55368000","166937159596.95000000","2648110801.00000000","3408663507.00000000","15346220098.95000000","18363234924.00000000","15879001908.20000000","158913764329.45368000"
"2021-02-06","1092168426777.00000000","844906302327.31400000","247262124449.68600000","135261041199.95000000","1809407603.00000000","2555784307.00000000","9922823519.95000000","10055034418.00000000","7852974086.00000000","79802148435.78600000","1041913216069.45909303","380024810205.55368000","166615846399.95000000","2276914685.00000000","3419028193.00000000","15214562986.95000000","18385081703.00000000","15451068308.20000000","158662307929.45368000"
"2021-02-15","1137256536777.00000000","879064996760.31400000","258191540016.68600000","140881563891.95000000","2366748360.00000000","4177646400.00000000","9440492644.95000000","9863170515.00000000","10147341585.00000000","81308145739.78600000","1084499002829.45909303","396005753531.55368000","173447108829.95000000","3000084409.00000000","5591698783.00000000","14754865151.95000000","18008719568.45000000","19538557449.55000000","161664719339.65368000"
"2020-07-08","415553093876.00000000","329922200342.25400000","85630893533.74600000","17736851345.40000000","127988985.00000000","170084418.00000000","204565398.52000000","561927642.38400000","12605390052.60000000","54219025691.84200000","402540772752.34031303","146344023623.85496000","21671678186.02080000","160158349.00000000","224596259.00000000","312097193.72000000","983306222.31896000","23311369114.22320000","99680818299.57200000"
"2020-11-30","775789309000.00000000","591530339660.14400000","184258969339.85600000","98270474570.07000000","1380579600.00000000","2206502000.00000000","3821092784.00000000","4675627017.00000000","4202745429.00000000","69701389059.78600000","726539701074.93559303","287730206759.52368000","120817995077.07000000","1756626694.00000000","2981034488.00000000","6100932359.20000000","9163153724.85000000","8396102077.20000000","138514362339.20368000"
"2020-02-27","283011636000.00000000","182208842098.15800000","100802793901.84200000","66226521571.00000000","1765114800.00000000","2627730279.00000000","6914368185.00000000","7085385297.00000000","7133548298.64200000","9046665471.20000000","224997422931.82753600","139044459710.46600000","79746944044.02400000","2230936179.20000000","3490729709.60000000","11038776402.00000000","13161122975.40000000","13230326566.04200000","16145623834.20000000"
"2021-03-04","1240241856777.00000000","964101454073.41400000","276140402703.58600000","149002172288.00000000","1946316742.00000000","4628355780.00000000","11304224713.80000000","12900074320.00000000","10026734040.00000000","86330613939.78600000","1190590115668.05909303","423378837419.60118000","183335154270.00000000","2459482782.00000000","6193199624.00000000","17383250817.94750000","23683514204.00000000","18707375382.00000000","171616860339.65368000"
"2020-10-26","644650909000.00000000","493286959498.29400000","151363949501.70600000","72885724131.40000000","846559600.00000000","970745770.00000000","3500542804.00000000","3621685505.00000000","2576672941.00000000","66963459870.30600000","604320138123.01559303","242800951534.57368000","89479383300.40000000","1067492341.00000000","1300146634.85000000","5681690903.20000000","7084500926.00000000","5142744295.00000000","133044993134.12368000"
"2021-03-25","1364597296777.00000000","1057510032387.41400000","307087264389.58600000","167664372071.00000000","2177106440.00000000","4791018775.00000000","11680310990.00000000","15261160533.80000000","11348425086.00000000","94156759613.78600000","1306903488348.85909303","467976106653.60118000","206055508646.00000000","2748302108.00000000","6389830921.00000000","17808558171.00000000","27611557257.94750000","21157663322.00000000","186204686227.65368000"
"2021-01-12","963814519000.00000000","741963234786.31400000","221851284213.68600000","121292128695.70000000","1492171800.00000000","2699888200.00000000","6309409015.20000000","9425242673.00000000","4764643921.00000000","75866309028.78600000","913696538065.55909303","342611587769.55368000","148976650364.70000000","1889323812.00000000","3610817792.00000000","9861614527.65000000","17957774823.55000000","9513450984.05000000","150801955465.60368000"
"2020-09-13","536242949000.00000000","405180504184.01400000","131062444815.98600000","58591074571.68000000","612736600.00000000","1143481323.00000000","1722448812.00000000","2340564038.40000000","698062218.00000000","65944877252.90600000","495184551704.35159303","213868461322.40368000","71856152558.68000000","766167079.00000000","1520398591.00000000","2743730713.00000000","4559431794.50280000","1392187298.00000000","131030393288.22088000"
"2020-07-27","438777952228.00000000","341363977920.69400000","97413974307.30600000","28707123603.00000000","496090800.00000000","436232520.00000000","801109197.40000000","265550587.52000000","1182125366.34400000","65520682233.04200000","416600224332.88759303","160740223060.98768000","35142953741.36000000","607621460.00000000","585974050.00000000","1228389236.50280000","474997137.92000000","2129985934.88048000","120570301500.32440000"
"2020-03-16","342806033000.00000000","226534267471.15800000","116271765528.84200000","74350057345.00000000","2862253879.00000000","3257065553.00000000","6464726437.00000000","8951981708.00000000","6627526554.00000000","13752024052.84200000","279199089856.36353600","161325517526.15400000","89639521108.18400000","3512534315.04000000","4288079701.20000000","10128105969.08800000","16557523188.20000000","12318502436.20000000","24881250808.24200000"
"2020-07-06","412234093876.00000000","329015149938.25400000","83218943937.74600000","15291761560.40000000","127400000.00000000","158090203.00000000","181403387.52000000","628951562.38400000","14672106136.60000000","52154171087.84200000","401418276443.34031303","143461585505.85496000","18708785465.02080000","157750360.00000000","208998798.00000000","275077985.72000000","1097750328.31896000","27137540895.82320000","95875681672.97200000"
"2020-02-17","254903236000.00000000","160165128008.15800000","94738107991.84200000","63343231221.00000000","1665147650.00000000","3180677416.00000000","5727957558.00000000","6567588554.00000000","7392078321.64200000","6857967271.20000000","197950940835.50753600","129775700009.46200000","76290202112.92000000","2117982653.90000000","4263541987.80000000","9099902501.00000000","12203216146.60000000","13647770867.84200000","12153083739.40000000"
"2020-02-12","241288339000.00000000","150602871362.15800000","90685467637.84200000","61401680677.00000000","1670056700.00000000","2698588436.00000000","5100797678.00000000","6775928907.64200000","7354405368.00000000","5680549871.20000000","186191026439.60353600","123979216229.26600000","73997179934.72000000","2126190111.40000000","3621060363.50400000","8105864882.80000000","12575570433.84200000","13553183928.60000000","10000166574.40000000"
"2020-04-17","389428835524.00000000","300438395964.90400000","88990439559.09600000","23759013705.36000000","3849248092.00000000","8026829662.89400000","13296767592.00000000","10253691632.00000000","9059848780.00000000","20741580094.84200000","367853128018.14380800","138146704361.94632000","28689743368.09632000","4796922647.66400000","10665473306.21400000","20471099223.40200000","18852768062.92800000","16796973816.80000000","37873723936.84200000"
"2020-11-07","692687789000.00000000","528207967224.14400000","164479821775.85600000","83884380373.07000000","814444000.00000000","1601034200.00000000","2799835390.00000000","4612842629.00000000","2920446201.00000000","67846280102.78600000","647610548493.53559303","260622499781.72368000","103286576649.07000000","1025738920.00000000","2161507564.00000000","4474666606.85000000","9031811412.20000000","5828084085.00000000","134814114544.60368000"
"2021-03-07","1255871856777.00000000","976280843278.41400000","279591013498.58600000","150827817363.00000000","2018160000.00000000","4247489302.00000000","12014522973.80000000","13247958400.00000000","9916428858.00000000","87312125721.78600000","1205731314752.05909303","428559246208.60118000","185560617948.00000000","2544911872.00000000","5686774706.00000000","18491486755.94750000","24334007205.00000000","18493088600.00000000","173448359121.65368000"
"2020-10-27","649163589000.00000000","497572440827.29400000","151591148172.70600000","73149889862.40000000","696220373.00000000","1004935200.00000000","3376606341.00000000","3757977505.00000000","2592434541.00000000","67014525470.30600000","609617869726.01559303","243212534750.57368000","89833188485.40000000","881788651.00000000","1347748757.00000000","5482190578.05000000","7343466450.00000000","5173200695.00000000","133150951134.12368000"
"2020-05-08","390804235524.00000000","315716436571.14272000","75087798952.85728000","5053401707.12128000","352999967.80000000","880546065.89400000","14653771296.20000000","17612893472.00000000","9985195913.00000000","26545530530.84200000","388535660905.96268800","130670015807.70814128","5750394897.70777728","415931492.18360000","1180248700.57236400","23881915117.67240000","32372932295.04200000","18430039578.68800000","48638553725.84200000"
"2020-12-01","781329469000.00000000","596543761684.14400000","184785707315.85600000","98656382856.07000000","1209214290.00000000","2313651000.00000000","3803894184.00000000","4714907017.00000000","4287985429.00000000","69799113659.78600000","732768658640.93559303","288477621768.52368000","121233522241.07000000","1543039506.00000000","3127831370.00000000","6061365411.20000000","9233964223.85000000","8568242077.20000000","138709656939.20368000"
"2020-10-11","604800729000.00000000","464271965264.63000000","140528763735.37000000","63830813103.06400000","857505800.00000000","1478290000.00000000","2938485056.00000000","3031894297.00000000","2229517528.40000000","66163699070.90600000","568386996900.95159303","227886854722.38768000","78412216469.06400000","1085996140.00000000","1989654593.00000000","4609215802.20000000","5894333691.00000000","4448309931.50280000","131447128095.62088000"
"2020-11-16","725545129000.00000000","547634491411.14400000","177910637588.85600000","95767768455.07000000","893422400.00000000","1306129004.00000000","3436137780.00000000","4629461501.00000000","3212081705.00000000","68659177863.78600000","671762491432.53559303","278355612536.92368000","118064234515.07000000","1120203680.00000000","1746422297.20000000","5450412514.00000000","9129655558.05000000","6409986829.00000000","136434697143.60368000"
"2020-04-01","385423833000.00000000","269535655540.15800000","115888177459.84200000","66909128239.00000000","3229662566.00000000","3926507948.00000000","7623636727.00000000","9868936694.00000000","7451280697.00000000","16875390317.84200000","332028515450.66153600","164635072625.41600000","80779198199.98400000","3987270337.06000000","5160718499.04000000","11986189021.89000000","18207259563.80000000","13841477695.80000000","30672959307.84200000"
"2021-03-28","1380288316777.00000000","1071039957329.41400000","309248359447.58600000","165670551167.00000000","4621135607.00000000","4728659269.00000000","11440117211.00000000","15557688013.80000000","12509825120.00000000","94720102179.78600000","1323708035859.85909303","471291978735.30118000","203631632055.00000000","5699623875.70000000","6267713017.00000000","17227471514.00000000","27895273123.94750000","23319230556.00000000","187251034593.65368000"
